form	segmentation	feats
pāirra	pāiri-na	noun;RELAT.PL.ABS
pālikkamma	pal-i-kki=mma	verb;ANTIP;NEG;2SG.ABS
pālukku	pal-o-kko	verb;INT;NEG
pālā	pāli-a	noun;ESS
pālā	pal-a	verb;INT
pālī	pāli	noun;ABS
pāndib	fandi-v	noun;2POSS.SG.ABS
pāra	pāri-a	noun;ESS
pāra	pār-a	verb;INT
pārellandin	pār-ill-and-i-n	verb;ill;PL.A;MOD.AG;n
pārendūž	pār-ind-o-ež	verb;PL.A;MOD.AG;OPT
pārgiaž	pārgi-i-až	noun;3POSS;PL.ABS
pāri	pāri	noun;ABS
pāri	pār-i	verb;ANTIP
pārila	pārili-a	noun;ESS
pārili	pārili	noun;ABS
pārilāi	pārili-ae	noun;INS
pārinduž	par-ind-o-ež	verb;PL.A;MOD.PAT;OPT
pārirunni	pār+i+r+o+ni-ne	noun;ABL/INS
pārizinivinama	pārizi-ne-ve-na=ma	noun;RELAT.SG;GEN;RELAT.PL.ABS;CON
pāriža	pār+i+že-a	noun;ESS
pāriža	pār-iž-a	verb;iž;INT
pāriženna	pār+i+že-i-nna	noun;3POSS.SG;EQU2
pāru	pār-u	verb;MED
pāttarribi	pāttari-ne-ve	noun;RELAT.SG;GEN
pāttarrēda	pāttari-ne-da	noun;RELAT.SG;DIR
pātte	patte	noun;ABS
pāttīvorriva	pāttīvori-ne-va	noun;RELAT.SG;DAT
pāġana	pāġani-a	noun;ESS
pāġiaža	pāġi-i-až-a	noun;3POSS;PL;DAT/ESS
pāġib	pāġi-v	noun;2POSS.SG.ABS
pāġiba	pāġi-i-va	noun;3POSS.SG;DAT
pāġida	pāġi-da	noun;DIR
pāġidi	pāġ-id-en	verb;PL.A;3JUSS
pāġilāena	pāġilāe-na	noun;RELAT.PL.ABS
pāġiž	paġi-ž	noun;ERG
pāġiž	pāġ-i-ež	verb;MOD.AG;OPT
pāġružini	faġr+o+že-ne-e	ADJ;RELAT.SG;DIR/LOC
pāġrōžinež	faġr+o+že-ne-ž	ADJ;RELAT.SG;ERG
pāġōža	pāġ-ož-a	verb;PST;3A.SG
pāġūma	pāġ-u=ma	verb;MED;CON
pāštōm	pa-ašt-o-m	verb;RES;TR.PFV;3A.SG
pāššaḫḫi	pāšš+aḫḫ+i	noun;ABS
pāššitḫād	pāšš+i+tḫe-a=d	noun;ESS;1SG.ABS
pāžanae	fāžani-ae	noun;INS
pāžannel	fāžani-ne-e=l	noun;RELAT.SG;DIR/LOC;3PL.ABS
pāži	fāži-i	noun;3POSS.SG.ABS
pāžia	fāži-i-a	noun;3POSS.SG;ESS
pāžia	faž-i-a	verb;TR;3A.SG
pāžib	fāži-v	noun;2POSS.SG.ABS
pāžiba	fāži-va	noun;DAT
pāžida	fāži-da	noun;DIR
pāžidu	faž-id-o	verb;PL.A;TR.PFV
pāžinida	pāže-ne-da	noun;RELAT.SG;DIR
pāžēni	pāže-e-ne	noun;3POSS.SG;ABL/INS
pēbi	fē-ve	PRON;GEN
pēdarriž	ped+ar+i-ne-ž	noun;RELAT.SG;ERG
pēdaruž	ped+ar+i-ož	noun;EQU
pēduġa	pēd+uġ-a	verb;INT
pēdāri	ped+ar+i	noun;ABS
pēnānuž	pen-an-o-ež	verb;an;MOD.PAT;OPT
pērġuba	pērġubi-a	noun;ESS
pērġēna	pēri-ġe-na	noun;ADJ;RELAT.PL.ABS
pēġi	pēġi	noun;ABS
pēġi	pēġ-i	verb;ANTIP
pēġulaballa	pēġulabi-a=lla	noun;ESS;3PL.ABS
pēġulaballa	pēġ-ol-a-b-a=lla	verb;ol;INT;b;EPNTH;3PL.ABS
pēšša	fē-ž=nna	PRON;ERG;3SG.ABS
pēž	fē-ž	PRON;ERG
pēžanum	pēž-an-o-m	verb;an;TR.PFV;3A.SG
pīarida	pīari-da	noun;DIR
pīarida	pīar-id-a	verb;PL.A;3A
pōduštabāl	fud-ošt-a-b-a=l	verb;RES;INT;b;EPNTH;3PL.ABS
pōenibi	powe-ne-ve	noun;RELAT.SG;GEN
pōnġib	pōnġi-v	noun;2POSS.SG.ABS
pōranadeniba	pōranade-ne-va	noun;RELAT.SG;DAT
pōriba	fōri-i-va	noun;3POSS.SG;DAT
pōridāi	pōr+idi-ae	noun;INS
pōrullin	fōroli-ne-n	noun;RELAT.SG;ABL/INS
pōruštugariža	for-ošt-ugar-iž-a	verb;RES;RECIP;iž;3A.SG
pōssu	pōss-o	verb;MOD.PAT
pōšši	pōšši	noun;ABS
pōššib	pōšši-v	noun;2POSS.SG.ABS
pūdangāi	pūd+ang-i-ai	verb;MOD.AG;PURP
pūrudum	for-ud-o-m	verb;NEG;TR.PFV;3A.SG
pūrānadi	pūrānadi	noun;ABS
pūziġub	pūz+iġ-o-m	verb;TR.PFV;3A.SG
sabalgina	sabal+gi-na	noun;RELAT.PL.ABS
sabalgāi	sabal+gi-ae	noun;INS
sabarri	sabari-ne	noun;ABL/INS
sablašši	sabl+a+šše	noun;ABS
sablungi	sabl+ung+i	noun;ABS
sablōža	sabl-ož-a	verb;PST;3A.SG
sablōžu	sabl-ož-o	verb;PST;2A.SG
sabri	sabri	noun;ABS
sakkandi	sakkandi	noun;ABS
salaštu	sal-ašt-o	verb;RES;MOD.PAT
salma	salmi=ma	noun;ABS;2SG.ABS
sammalaštuž	samm+al-ašt-o-ež	verb;RES;MOD.PAT;OPT
sangandi	sangandi	noun;ABS
sanzāmi	sanzāmi	noun;ABS
sarmadenin	sarmade-ne-n	noun;RELAT.SG;ABL/INS
sassinīe	sassi+ni-e	noun;3POSS.SG.ABS
savāldum	sav-al-d-o-m	verb;al;d;TR.PFV;3A.SG
sazulda	saz+ul+di-a	noun;ESS
sazulda	sāz-ol-d-a	verb;ol;PL.A;3A
sažra	sažri-a	noun;ESS
saḫḫā	saḫḫi-a	noun;ESS
selmi	selmi	noun;ABS
serrēnež	serrē-ne-ž	noun;RELAT.SG;ERG
sibariba	sib+ar+i-i-va	noun;3POSS.SG;DAT
sibi	sibi	noun;ABS
sibi	sib-i	verb;ANTIP
sigaldi	sigaldi	noun;ABS
sigaldi	sig+al-d-i	verb;d;ANTIP
sigalduži	sigald+o+že	noun;ABS
sigalduži	sig+al-d-ož-i	verb;d;PST;ANTIP
sigarullinež	sig+ar+ulli-ne-ž	noun;RELAT.SG;ERG
sigrōšḫinenna	sigr+ō+šḫe-ne-e=nna	noun;RELAT.SG;DIR/LOC;3SG.ABS
sikkulli	sikk-ulli	verb;ulli
sikkōġa	sikk+o+ġe-a	noun;ESS
sikkōġa	sikk-oġ-a	verb;oġ;INT
silmanidab	silm+an-ed-aw	verb;FUT;1A.SG
simidada	simidadi-a	noun;ESS
simidadinež	simidadi-ne-ž	noun;RELAT.SG;ERG
simidaduž	simidadi-ož	noun;EQU
simminie	simmi-ne	noun;ABL/INS
sipsiḫḫatta	sips+i+ḫḫe-a=tta	noun;ESS;1SG.ABS
sissōm	siss-o-m	verb;TR.PFV;3A.SG
sitkab	sitk-a-b	verb;INT;b
subitta	subitti-a	noun;ESS
subitta	sub-ed-d-a	verb;FUT;PL.A;3A
subnīa	subni-i-a	noun;3POSS.SG;ESS
subnīa	subn-i-a	verb;TR;3A.SG
sugazūganišša	suga+zūga+ni+šše-a	noun;ESS
sugazūganišša	suga+zūg-an-i-šše-a	verb;an;ANTIP;NMLZ;ESS
sugmuštab	sugm-ušt-a-b	verb;RES;INT;b
suguġēda	sug-oġ-ed-a	verb;oġ;FUT;3A.SG
sukki	sukki	noun;ABS
sukki	sukk-i	verb;ANTIP
sulgi	sul+gi	noun;ABS
suludulub	sul+ud-ol-o-m	verb;ol;TR.PFV;3A.SG
sulōdōēn	sul+ud-o-en	verb;MOD.PAT;3JUSS
sulōženie	sul+ō+že-ne	noun;ABL/INS
sulūda	sul+ud-a	verb;INT
sumġar	sumġar	noun;ABS
suppini	suppi-ne	noun;ABL/INS
suppinibinin	suppi-ne-ve-ne-n	noun;RELAT.SG;GEN;RELAT.SG;ABL/INS
surgi	surgi	noun;ABS
surungi	sur+ung+i	noun;ABS
suruški	sur+u+ški	noun;ABS
surōža	sur-ož-a	verb;PST;3A.SG
suwadatte	suv+ad+atte	noun;ABS
suwaḫḫu	suwaḫḫu	noun;ABS
suzumagiani	suzumagi-i-ane	noun;3POSS.SG;ABL/INS
suzōnni	suss+ō+nni	noun;ABS
suġižalli	suġižali-ne	noun;ABL/INS
suġri	suġri	noun;ABS
suḫḫinie	suḫḫi-ne	noun;ABL/INS
sāllava	sāllavi-a	noun;ESS
sālī	sāli	noun;ABS
sālī	sal-i	verb;ANTIP
sāssari	sāss+ar+i	noun;ABS
sāzallaž	sāzalla-ž	noun;ERG
sāzin	sāzi-n	noun;ABL/INS
sāzin	sāz-i-en	verb;MOD.AG;3JUSS
sāzulilida	sāz-ol-il-ed-a	verb;ol;il;FUT;3A.SG
sāzulōšteri	sāz-ol-ošt-i-re	verb;ol;RES;AG;PTCP
sāžulia	sāz-ol-i-a	verb;ol;TR;3A.SG
sāžulōža	sāz-ol-ož-a	verb;ol;PST;3A.SG
sēze	sēze	noun;ABS
sēži	sēži	noun;ABS
sīani	si-i-ane	noun;3POSS.SG;ABL/INS
sīgila	sīgili-a	noun;ESS
sīgila	sīg-il-a	verb;il;INT
sītkūli	sitk-ol-i	verb;ol;ANTIP
sōbinēra	sōve-ne-ra	noun;RELAT.SG;COM
sōbāra	sōbāri-a	noun;ESS
sōnni	sōni-ne	noun;ABL/INS
sōpḫōra	sōpḫōri-a	noun;ESS
sōrōžu	sōr-ož-o	verb;PST;2A.SG
sōveni	sōve-ne	noun;ABL/INS
sōīb	sōī-v	noun;2POSS.SG.ABS
sōīb	sō-i-b	verb;ANTIP;b
sōšša	sōšš-a	noun;INT
sōšši	sōšši	noun;ABS
sōššiuž	sōšši-i-ož	noun;3POSS.SG;EQU
sūgētteni	sūgētte-ne	noun;ABL/INS
sūldu	sūl-id-o	verb;PL.A;TR.PFV
sūleška	sūl+eški-a	noun;ESS
sūlūde	sūl+ūde	noun;ABS
sūlūde	sul+ud-i	verb;ANTIP
sūlūža	sūl-ož-a	verb;PST;3A.SG
sūrangi	sūr+ang+i	noun;ABS
sūwae	sūve-ae	noun;INS
sūwe	sūve	noun;ABS
tabakka	tabakki-a	noun;ESS
taballiž	taba+li-ne-ž	noun;RELAT.SG;ERG
tabaštili	tab-ašt-i-le	verb;RES;MOD.AG;1JUSS
tabenduž	tab-ind-o-ež	verb;PL.A;MOD.PAT;OPT
tabilianiž	tab+ilia-ne-ž	ADJ;RELAT.SG;ERG
tabiribuwi	tab+i+re-iffu-ve	noun;1POSS.SG;GEN
tabirīma	tab+i+re-i=ma	noun;3POSS.SG.ABS;CON
tabra	tabri-a	noun;ESS
tabrinnež	tabrini-ne-ž	noun;RELAT.SG;ERG
tabrāna	tabrani-a	noun;ESS
tabrāni	tabrani	noun;ABS
tabrēnni	tab+i+rē+nni	noun;ABS
tadanida	tad+a+ni-da	noun;DIR
tadanida	tad-an-ed-a	verb;an;FUT;3A.SG
tadida	tādi-da	noun;DIR
tadida	tad-id-a	verb;PL.A;3A
tadireškinibāe	tad+ir+e+ški-ne-ve-ae	noun;RELAT.SG;GEN;INS
tadugarāe	tad+ugar+i-ae	noun;INS
taduġeban	tado.ḫeba=an	noun;ABS;CON
taduġebāba	tado.ḫeba-va	noun;DAT
taduġebābi	tado.ḫeba-ve	noun;GEN
tadāe	tādi-ae	noun;INS
tagi	tagi	noun;ABS
tagima	tagi=ma	noun;ABS;CON
tagiže	tage+že	ADJ;ABS
tagižina	tage+že-na	ADJ;RELAT.PL.ABS
tagulaēž	tag-o-l-ai-ž	verb;MOD.PAT;l;PURP;ž
tagulēž	tag-o-l-ež	verb;MOD.PAT;l;OPT
talabōžinaža	talāv+o+že-na-až-a	ADJ;RELAT.PL;PL;DAT/ESS
talabōžinažuž	talāv+o+že-na-až-ož	ADJ;RELAT.PL;PL;ERG
talamdib	talam+di-v	ADJ;2POSS.SG.ABS
talamdib	talam+d-i-b	verb;ANTIP;b
talavoži	talāv+o+že	ADJ;ABS
talavožināži	talāv+o+že-na-až-ve	ADJ;RELAT.PL;PL;GEN
talaštāw	tal-ašt-aw	verb;RES;1A.SG
talaḫḫidu	tal+āḫḫ-id-o	verb;PL.A;TR.PFV
talaḫḫum	tal+āḫḫ-o-m	verb;TR.PFV;3A.SG
talaḫḫōm	tal-aḫḫ-o-m	verb;aḫḫ;TR.PFV;3A.SG
tali	tale	noun;ABS
tali	tal-i	verb;ANTIP
talinaža	tāle-na-až-a	noun;RELAT.PL;PL;DAT/ESS
taliniba	tāle-ne-va	noun;RELAT.SG;DAT
talippa	tale-iffe-a	noun;1POSS.SG;ESS
talippa	tal-i-b=ma	verb;ANTIP;b;CON
talmanalla	talm+a+ni-a=lla	noun;ESS;3PL.ABS
talmašti	talm-ašt-i	verb;RES;ANTIP
talmaštīli	talm-ašt-i-le	verb;RES;MOD.AG;1JUSS
talmu	talm-o	verb;MOD.AG
talmuššini	talmošše-ne	noun;ABL/INS
talmōla	talm-ol-a	verb;ol;3A.SG
talmōvab	talmōv-a-b	verb;INT;b
talmōġa	talm+oḫḫe-a	ADJ;ESS
talmōġa	talm-oġ-a	verb;oġ;INT
talāvaže	talāv+a+že	ADJ;ABS
talēnež	tale-ne-ž	noun;RELAT.SG;ERG
talīa	tal-i-a	verb;TR;3A.SG
tamarra	tam+ar+i-na	noun;RELAT.PL.ABS
tamgarida	tamgāri-da	noun;DIR
tamgarrida	tamgāri-ne-da	noun;RELAT.SG;DIR
tamgina	tamgina	noun
tamginaž	tamgina-ž	noun;ERG
tammaderra	tammaderi-na	noun;RELAT.PL.ABS
tammarġi	tamm+ar+ġe	noun;ABS
tamra	tamri-a	NUM;ESS
tamrian	tamri-i-a=an	NUM;3POSS.SG;ESS;CON
tamrian	tamr-i-en	verb;MOD.AG;3JUSS
tamrīl	tamri-i=l	NUM;3POSS.SG.ABS;3PL.ABS
tamāššina	tam+a+šše-na	noun;RELAT.PL.ABS
tanna	tanni-a	noun;ESS
tanānna	tanāni-na	noun;RELAT.PL.ABS
taptani	tapt+a+ni	noun;ABS
taptani	tap-d-an-i	verb;d;an;ANTIP
tapteni	tapti-ne	noun;ABL/INS
tapti	tapti	noun;ABS
tapšab	tapš-a-b	verb;INT;b
tapšaġuḫḫa	tapš+aġ+o+ḫḫe-a	noun;ESS
tapšaḫḫa	tapš+āġ+i-a	noun;ESS
tapšurža	tapš+ur+že-a	noun;ESS
tapšuržai	tapš+ur+že-ae	noun;INS
tapšāġina	tapš+āġ+i-na	noun;RELAT.PL.ABS
tapšōbādi	tapš+ō+bāde	noun;ABS
tapšū	tapš-u	verb;MED
tapḫa	tapḫi-a	noun;ESS
tapḫaštib	tapḫ-ašt-i-b	verb;RES;ANTIP;b
tara	tāri-a	noun;ESS
tara	tār-a	verb;INT
tarallibi	tarali-ne-ve	noun;RELAT.SG;GEN
tarbu	tarbu	ADV
tarbu	tarb-o	verb;MOD.PAT
targi	tar+ġe	noun;ABS
tarinnima	tar+i+nni=ma	noun;ABS;CON
taripti	tar+i+pt+i	noun;ABS
tariġini	tar+i+ġe-ne	noun;ABL/INS
tarmanna	tarm+a+ni-na	noun;RELAT.PL.ABS
tarmanni	tarm+a+ni-ne	noun;ABL/INS
tarmannibina	tarm+a+ni-ne-ve-na	noun;RELAT.SG;GEN;RELAT.PL.ABS
tarmānuž	tarm+a+ni-ož	noun;EQU
tarni	tarni	noun;ABS
tarni	tarn-i	verb;ANTIP
tarria	tarri-i-a	noun;3POSS.SG;ESS
tarria	tarr-i-a	verb;TR;3A.SG
tarriž	tāri-ne-ž	noun;RELAT.SG;ERG
tarve	tarve	noun;ABS
tarāi	tāri-ae	noun;INS
tarēna	tarē-na	noun;RELAT.PL.ABS
tarže	tarže	noun;ABS
taržuwanažāe	taržuwa+ni-na-až-ve-ae	noun;RELAT.PL;PL;GEN;INS
taržuwanna	taržuwa+ni-na	noun;RELAT.PL.ABS
taržuwannaža	taržuwa+ni-na-až-a	noun;RELAT.PL;PL;DAT/ESS
taržuwannažuž	taržuwa+ni-na-až-ož	noun;RELAT.PL;PL;ERG
taržuwannež	taržuwa+ni-ne-ž	noun;RELAT.SG;ERG
taržuwanniba	taržuwa+ni-ne-va	noun;RELAT.SG;DAT
taržuwannibi	taržuwa+ni-ne-ve	noun;RELAT.SG;GEN
taržuwannida	taržuwa+ni-ne-da	noun;RELAT.SG;DIR
taržuwannāži	taržuwa+ni-na-až-ve	noun;RELAT.PL;PL;GEN
taržuwanzi	taržuwa+n+zi	noun;ABS
taržuwāni	taržuwa+ni	noun;ABS
tattin	tatti-n	noun;ABL/INS
tattin	tad-id-en	verb;PL.A;3JUSS
tatḫinibi	tatḫi-ne-ve	noun;RELAT.SG;GEN
tatḫundōrinamma	tātḫ+und+ō+re-na=mma	noun;RELAT.PL.ABS;CON
tavaštōm	tav-ašt-o-m	verb;RES;TR.PFV;3A.SG
tavūdum	tav-ud-o-m	verb;NEG;TR.PFV;3A.SG
tawti	taudi	noun;ABS
tazakkaštura	tazakkašturi-a	noun;ESS
taġavure	taġav+o+re	noun;ABS
taġažīb	tāġ-až-i-b	verb;až;ANTIP;b
taġinež	tāġe-ne-ž	noun;RELAT.SG;ERG
taġuwadinēda	taġ+o+vadi-ne-da	noun;RELAT.SG;DIR
taġāži	taġ+ā+že	noun;ABS
taġēnivāl	tāġe-ne-va=l	noun;RELAT.SG;DAT;3PL.ABS
taġōbi	taġōbi	noun;ABS
taškarġi	taškar+ġe	noun;ABS
taššāmib	taššāmi-v	noun;2POSS.SG.ABS
taššāmmiž	taššāmi-ž	noun;ERG
taženi	taže-ne	noun;ABL/INS
tažmežarri	tažmi.šarri	noun;ABS
tažmežarrin	tažmi.šarri=n	noun;ABS;3SG.ABS
tažmižarriba	tažmi.šarri-va	noun;DAT
tažmižarrida	tažmi.šarri-da	noun;DIR
tažmižarriž	tažmi.šarri-ž	noun;ERG
tažulūwa	taž-ol-u-a	verb;ol;MED;3A.SG
tažummi	taž-umme	verb;INF.ABS
teba	tebe-a	noun;ESS
tebi	tive	noun;ABS
tebinažuž	tive-na-až-ož	noun;RELAT.PL;PL;ERG
tebini	tive-ne	noun;ABL/INS
tebušḫa	tiv+o+šḫi-a	noun;ESS
tebušḫāi	tiv+o+šḫi-ae	noun;INS
tebāe	tive-ae	noun;INS
tebēna	tebe-na	noun;RELAT.PL.ABS
tedera	tederi-a	noun;ESS
tedevaduḫḫa	tid+i+vad+o+ḫḫe-a	ADJ;ESS
teeia	tē-i-a	noun;3POSS.SG;ESS
teffe	teffe	noun;ABS
teiai	tei-ae	ADJ;INS
telippa	tel-i-b=ma	verb;ANTIP;b;CON
telu	tel-o	verb;MOD.PAT
telumma	tel-o-m=ma	verb;TR.PFV;3A.SG;CON
temgiaža	tem+gi-i-až-a	noun;3POSS;PL;DAT/ESS
temiġa	temiġi-a	noun;ESS
temmāni	temm+ā+ni	noun;ABS
temmāni	temm-an-i	verb;an;ANTIP
teunāe	te+o+n+āe	ADV
teveffa	tive-iffe-a	noun;1POSS.SG;ESS
tevena	tive-na	noun;RELAT.PL.ABS
teġeštab	teġ-išt-a-b	verb;RES;INT;b
teġeštub	teġ-išt-o-m	verb;RES;TR.PFV;3A.SG
teġiaža	tēġi-i-až-a	noun;3POSS;PL;DAT/ESS
teġida	teġ-ed-a	verb;FUT;3A.SG
teġiw	teġ-i-o	verb;TR;2A.SG
teġri	teġri	noun;ABS
teġri	teġr-i	verb;ANTIP
teġulli	teġ+ol+i-ne	noun;ABL/INS
teġulli	teġ-ol-i-le	verb;ol;MOD.AG;1JUSS
tešcuppi	teššob-ve	noun;GEN
teššena	tešše-na	noun;RELAT.PL.ABS
teššeni	tešše+ni	noun;ABS
tešši	tešše	noun;ABS
teššināža	tešše-na-až-a	noun;RELAT.PL;PL;DAT/ESS
teššub	teššob	noun;ABS
teššuġāi	tešš+o+ġe-ae	noun;INS
teššužum	tešš-ož-o-m	verb;ož;TR.PFV;3A.SG
teššīe	tešše-e	noun;3POSS.SG.ABS
teššōbaž	teššob-až	noun;ERG
težuġarġi	tež+uġ+ar+ġe	noun;ABS
težuġarġida	tež+uġ+ar+ġe-da	noun;DIR
težuġarġināži	tež+uġ+ar+ġe-na-až-ve	noun;RELAT.PL;PL;GEN
težuġāi	tež+o+ġe-ae	noun;INS
težāe	teži-ae	noun;INS
teḫpa	teḫpi-a	noun;ESS
teḫpa	teḫp-a	verb;INT
tia	tiye-a	noun;ESS
tiba	tibi-a	noun;ESS
tiba	tiv-a	verb;INT
tibadedella	tibade=dilla	noun;ABS;1PL.ABS
tibib	tive-v	noun;2POSS.SG.ABS
tibāġa	tibāġi-a	noun;ESS
tibāġa	tiv-aġ-a	verb;aġ;3A.SG
tibāġōm	tiv-aġ-o-m	verb;aġ;TR.PFV;3A.SG
tibōšḫi	tiv+o+šḫi	noun;ABS
tidiam	tidi-i-a=m	noun;3POSS.SG;ESS;CON
tidiam	tīd-i-a=m	verb;TR;3A.SG;CON
tidikki	tīd-i-kki	verb;ANTIP;NEG
tidištēdi	tīd-išt-ed-i	verb;RES;FUT;ANTIP
tillada	tilladi-a	noun;ESS
tilulōštab	til+ol-ošt-aw	verb;RES;1A.SG
timarri	timeri-ne-e	ADJ;RELAT.SG;DIR/LOC
tipšar	tip+šari	noun;ABS
titta	titti-a	noun;ESS
titta	titt-a	verb;INT
tiveniž	tive-ne-ž	noun;RELAT.SG;ERG
tivinām	tive-na=m	noun;RELAT.PL.ABS;CON
tivivudab	tive-v-oda=m	noun;2POSS.SG;DIR;CON
tivušḫini	tiv+o+šḫi-na	noun;RELAT.PL.ABS
tivāḫtu	tiv-aġ-id-o	verb;aġ;PL.A;TR.PFV
tizū	tiz-u	verb;MED
tiššuḫḫi	tišš+o+ḫḫe	noun;ABS
tižab	tiža-v	noun;2POSS.SG.ABS
tižiaž	tiža-i-až	noun;3POSS;PL.ABS
tiḫḫida	tiḫḫi-da	noun;DIR
tiḫḫida	tiḫḫ-ed-a	verb;FUT;3A.SG
tubinažuž	tōbi-na-až-ož	noun;RELAT.PL;PL;ERG
tuffaēšḫema	tuffaē+šḫe=ma	noun;ABS;CON
tugalla	tugali-na	noun;RELAT.PL.ABS
tugalla	tug-a=lla	verb;INT;3PL.ABS
tugrišḫi	tugriž-ġe	noun;ADJ.ABS
tugrižōġa	tugriž+ō+ġe-a	ADJ;ESS
tuiba	tui-i-va	noun;3POSS.SG;DAT
tulbulimaža	tulbuli+m+a+že-a	noun;ESS
tulburāe	tulburi-ae	noun;INS
tullibina	tuli-ne-ve-na	noun;RELAT.SG;GEN;RELAT.PL.ABS
tummininna	tummi-ne-e=nna	noun;RELAT.SG;DIR/LOC;3SG.ABS
tumnadinella	tomn+adi-ne=lla	noun;ABL/INS;3PL.ABS
tumniam	tomni-i-a=m	NUM;3POSS.SG;ESS;CON
tumniaža	tomni-i-až-a	NUM;3POSS;PL;DAT/ESS
tunidu	ton-id-o	verb;PL.A;TR.PFV
tunitḫibe	tun+i+tḫe-iffe	noun;1POSS.SG.ABS
tunivadai	ton-i-vade-ae	verb;AG;ADJ.NEG;INS
tunuwarriž	tunuwari-ne-ž	noun;RELAT.SG;ERG
tunuštu	ton-ošt-o	verb;RES;MOD.PAT
tunōm	ton-o-m	verb;TR.PFV;3A.SG
tunōštum	ton-ošt-o-m	verb;RES;TR.PFV;3A.SG
tuppini	tuppi-ne-e	noun;RELAT.SG;DIR/LOC
tupḫa	tupḫi-a	noun;ESS
tupḫa	tupḫ-a	verb;INT
turba	torove-a	noun;ESS
turba	torv-a	verb;INT
turbōri	turb+ō+re	noun;ABS
turuḫḫe	tūr+o+ḫḫe	noun;ABS
turuḫḫina	tor+o+ḫḫe-na	ADJ;RELAT.PL.ABS
turžē	turžē	noun;ABS
tuwarnibinida	tuw+ar+ni-ve-ne-da	noun;GEN;RELAT.SG;DIR
tā+na	tān-a	verb;INT
tābužudam	tab-ož-ud-a=m	verb;ož;ud;INT;2SG.ABS
tābīw	tab-i-o	verb;TR;2A.SG
tāda	tādi-a	noun;ESS
tādareški	tād+ar+e+ški	noun;ABS
tādiašši	tād+i+a+šše	ADJ;ABS
tādinibād	tādi-ne-va=d	noun;RELAT.SG;DAT;1SG.ABS
tādittiniala	tāditti+ni-i-a=lla	noun;3POSS.SG;ESS;3PL.ABS
tāduġeba	tado.ḫeba	noun;ABS
tāgidura	tāgidu-ra	noun;COM
tāgōri	tāg+ō+re	ADJ;ABS
tālamdub	talm-d-o-m	verb;d;TR.PFV;3A.SG
tāli	tāle	noun;ABS
tālia	tale-i-a	noun;3POSS.SG;ESS
tālina	tāle-na	noun;RELAT.PL.ABS
tālinēda	tāle-ne-da	noun;RELAT.SG;DIR
tālāl	tale-a=l	noun;ESS;3PL.ABS
tālāl	tal-a=l	verb;INT;3PL.ABS
tālāḫḫīb	tal+āḫḫ-i-b	verb;ANTIP;b
tālēnež	tāle-ne-ž	noun;RELAT.SG;ERG
tālūlīžanna	tāl+ūl+ī+že-a=nna	noun;ESS;3SG.ABS
tālūlīžanna	tal-ol-iž-a=nna	verb;ol;iž;INT;3SG.ABS
tāma	tami-a	noun;ESS
tāna	tāni-a	noun;ESS
tānaštīb	tān-ašt-i-b	verb;RES;ANTIP;b
tāndib	tān-d-i-b	verb;d;ANTIP;b
tāndu	tān-d-o	verb;d;MOD.PAT
tāngaimā	tān+gi-ae=ma	noun;INS;CON
tāni	tāni	noun;ABS
tāni	tān-i	verb;ANTIP
tānni	tanni	noun;ABS
tānu	tānu	ADV
tānumāgāi	tānumāgi-ae	noun;INS
tānuže	tān+o+že	noun;ABS
tānuži	tān-ož-i	verb;PST;ANTIP
tāpšūlāw	tāpš-ol-aw	verb;ol;1A.SG
tāri	tāri	noun;ABS
tārinni	tar+i+nni	noun;ABS
tārra	tāri-na	noun;RELAT.PL.ABS
tārri	tāri-ne	noun;ABL/INS
tārōni	tār+ō+ni	noun;ABS
tārōni	tār-on-i	verb;on;ANTIP
tātḫināmma	tatḫi-na=mma	noun;RELAT.PL.ABS;CON
tāwumballa	tā-umb-a=lla	verb;umb;3A.SG;3PL.ABS
tāġa	tāġe-a	noun;ESS
tāġa	tāġ-a	verb;INT
tāġanna	tāġani-na	noun;RELAT.PL.ABS
tāġe	tāġe	noun;ABS
tāġi	tāġ-i	verb;ANTIP
tāġiba	tāġe-i-va	noun;3POSS.SG;DAT
tāġibi	tāġe-ve	noun;GEN
tāġibāe	tāġe-ve-ae	noun;GEN;INS
tāġid	tāġe=d	noun;ABS;1SG.ABS
tāġiniba	tāġe-ne-va	noun;RELAT.SG;DAT
tāġinibinež	tāġe-ne-ve-ne-ž	noun;RELAT.SG;GEN;RELAT.SG;ERG
tāġēma	tāġe=ma	noun;ABS;CON
tāžae	taže-ae	noun;INS
tāženēra	taže-ne-ra	noun;RELAT.SG;COM
tāžini	tāže-ne	noun;ABL/INS
tē	tēi	ADV
tēa	tēa	ADV
tēa	tiye-e-a	noun;3POSS.SG;ESS
tēadin	tēi+ade-n	noun;ABL/INS
tēama	tēa=ma	ADV;CON
tēama	tē-i-a=ma	noun;3POSS.SG;ESS;CON
tēama	te-i-a-ma	verb;TR;3A.SG;NEG
tēna	tē+ni-a	noun;ESS
tēni	tē+ni	noun;ABS
tēġida	teġidi-a	noun;ESS
tēġulla	teġ-ull-a	verb;ull;3A.SG
tēġuššeni	tēġ+o+šše-ne	noun;ABL/INS
tīa	tiye-i-a	noun;3POSS.SG;ESS
tīa	te-i-a	verb;TR;3A.SG
tīb	tiye-v	noun;2POSS.SG.ABS
tīb	te-i-b	verb;ANTIP;b
tīda	tidi-a	noun;ESS
tīda	tīd-a	verb;INT
